age,education,marital.status,relationship,race,sex,hoursperweek,nativecountry,income
39,Bachelors,Never-married,Not-in-family,White,Male,40,United-States,<=50K
50,Bachelors,Married-civ-spouse,Husband,White,Male,13,United-States,<=50K
38,HS-grad,Divorced,Not-in-family,White,Male,40,United-States,<=50K
53,11th,Married-civ-spouse,Husband,Black,Male,40,United-States,<=50K
28,Bachelors,Married-civ-spouse,Wife,Black,Female,40,Cuba,<=50K
37,Masters,Married-civ-spouse,Wife,White,Female,40,United-States,<=50K
49,9th,Married-spouse-absent,Not-in-family,Black,Female,16,Jamaica,<=50K
52,HS-grad,Married-civ-spouse,Husband,White,Male,45,United-States,>50K
31,Masters,Never-married,Not-in-family,White,Female,50,United-States,>50K
42,Bachelors,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
37,Some-college,Married-civ-spouse,Husband,Black,Male,80,United-States,>50K
30,Bachelors,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,India,>50K
23,Bachelors,Never-married,Own-child,White,Female,30,United-States,<=50K
32,Assoc-acdm,Never-married,Not-in-family,Black,Male,50,United-States,<=50K
40,Assoc-voc,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,,>50K
34,7th-8th,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,45,Mexico,<=50K
25,HS-grad,Never-married,Own-child,White,Male,35,United-States,<=50K
32,HS-grad,Never-married,Unmarried,White,Male,40,United-States,<=50K
38,11th,Married-civ-spouse,Husband,White,Male,50,United-States,<=50K
43,Masters,Divorced,Unmarried,White,Female,45,United-States,>50K
40,Doctorate,Married-civ-spouse,Husband,White,Male,60,United-States,>50K
54,HS-grad,Separated,Unmarried,Black,Female,20,United-States,<=50K
35,9th,Married-civ-spouse,Husband,Black,Male,40,United-States,<=50K
43,11th,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
59,HS-grad,Divorced,Unmarried,White,Female,40,United-States,<=50K
56,Bachelors,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
19,HS-grad,Never-married,Own-child,White,Male,40,United-States,<=50K
54,Some-college,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,60,South,>50K
39,HS-grad,Divorced,Not-in-family,White,Male,80,United-States,<=50K
49,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
23,Assoc-acdm,Never-married,Not-in-family,White,Male,52,United-States,<=50K
20,Some-college,Never-married,Own-child,Black,Male,44,United-States,<=50K
45,Bachelors,Divorced,Own-child,White,Male,40,United-States,<=50K
30,Some-college,Married-civ-spouse,Own-child,White,Male,40,United-States,<=50K
22,Some-college,Married-civ-spouse,Husband,Black,Male,15,United-States,<=50K
48,11th,Never-married,Unmarried,White,Male,40,Puerto-Rico,<=50K
21,Some-college,Never-married,Own-child,White,Male,40,United-States,<=50K
19,HS-grad,Married-AF-spouse,Wife,White,Female,25,United-States,<=50K
31,Some-college,Married-civ-spouse,Husband,White,Male,38,,>50K
48,Assoc-acdm,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
31,9th,Married-civ-spouse,Husband,White,Male,43,United-States,<=50K
53,Bachelors,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
24,Bachelors,Married-civ-spouse,Husband,White,Male,50,United-States,<=50K
49,HS-grad,Separated,Unmarried,White,Female,40,United-States,<=50K
25,HS-grad,Never-married,Not-in-family,White,Male,35,United-States,<=50K
57,Bachelors,Married-civ-spouse,Husband,Black,Male,40,United-States,>50K
53,HS-grad,Married-civ-spouse,Husband,White,Male,38,United-States,<=50K
44,Masters,Divorced,Unmarried,White,Female,40,United-States,<=50K
41,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
29,Assoc-voc,Never-married,Not-in-family,White,Male,43,United-States,<=50K
25,Some-college,Married-civ-spouse,Wife,Other,Female,40,United-States,<=50K
18,HS-grad,Never-married,Own-child,White,Female,30,,<=50K
47,Prof-school,Married-civ-spouse,Wife,White,Female,60,Honduras,>50K
50,Bachelors,Divorced,Not-in-family,White,Male,55,United-States,>50K
47,HS-grad,Divorced,Not-in-family,White,Male,60,United-States,<=50K
43,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
46,5th-6th,Married-civ-spouse,Husband,White,Male,40,Mexico,<=50K
35,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,Puerto-Rico,<=50K
41,HS-grad,Married-civ-spouse,Husband,White,Male,48,United-States,<=50K
30,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
30,Bachelors,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
32,7th-8th,Married-spouse-absent,Not-in-family,White,Male,40,,<=50K
48,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
42,Doctorate,Married-civ-spouse,Husband,White,Male,45,United-States,>50K
29,Some-college,Divorced,Not-in-family,White,Male,58,United-States,<=50K
36,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
28,Some-college,Divorced,Not-in-family,White,Female,40,United-States,<=50K
53,HS-grad,Married-civ-spouse,Wife,White,Female,40,United-States,>50K
49,Some-college,Married-civ-spouse,Husband,White,Male,50,United-States,>50K
25,Some-college,Never-married,Own-child,White,Male,40,United-States,<=50K
19,Some-college,Never-married,Own-child,White,Male,32,United-States,<=50K
31,Bachelors,Separated,Own-child,Black,Female,40,United-States,<=50K
29,Bachelors,Married-civ-spouse,Husband,White,Male,70,United-States,>50K
23,Some-college,Never-married,Not-in-family,White,Male,40,United-States,<=50K
79,Some-college,Married-civ-spouse,Other-relative,White,Male,20,United-States,<=50K
27,HS-grad,Never-married,Own-child,White,Male,40,Mexico,<=50K
40,Assoc-acdm,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
67,10th,Married-civ-spouse,Husband,White,Male,2,United-States,<=50K
18,11th,Never-married,Own-child,White,Female,22,United-States,<=50K
31,7th-8th,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
18,HS-grad,Never-married,Not-in-family,White,Male,30,United-States,<=50K
52,Bachelors,Married-civ-spouse,Husband,White,Male,40,Cuba,<=50K
46,HS-grad,Married-civ-spouse,Wife,White,Female,40,United-States,<=50K
59,HS-grad,Married-civ-spouse,Husband,White,Male,48,United-States,<=50K
44,HS-grad,Divorced,Not-in-family,White,Female,40,United-States,>50K
53,HS-grad,Divorced,Own-child,White,Female,35,United-States,<=50K
49,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
33,Masters,Married-civ-spouse,Husband,White,Male,50,United-States,<=50K
30,9th,Never-married,Not-in-family,White,Male,40,United-States,<=50K
43,Doctorate,Never-married,Not-in-family,White,Female,50,United-States,>50K
57,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
37,Some-college,Divorced,Unmarried,White,Female,40,United-States,<=50K
